happiness_score,gdp,life_expectancy,freedom,generosity,corruption
4.686,1.0088,0.04449,0.30033,0.38086,0.05863
4.681,0.79907,0.04412,0.25123,0.15275,0.02961
4.677,0.98549,0.05232,0,0.17922,0.13788
4.642,0.92049,0.04585,0.33207,0.11973,0.08884
4.633,0.54558,0.04742,0.42342,0.23087,0.04355
4.61,0.271,0.0429,0.25861,0.18987,0.08079
4.571,0.0712,0.11068,0.28531,0.24362,0.06232
4.565,0.64499,0.02043,0.39786,0.26475,0.08492
4.55,0.52107,0.0674,0.10081,0.19062,0.1466
4.518,0.26673,0.07331,0.24425,0.46187,0.17175
4.517,0,0.0368,0.22605,0.24834,0.07625
4.514,0.35997,0.03607,0.38282,0.32296,0.05907
4.512,0.19073,0.0378,0.4345,0.24325,0.15048
4.507,0.33024,0.07068,0.4084,0.21488,0.08786
4.436,0.45407,0.03947,0.24232,0.219,0.17461
4.419,0.36471,0.04734,0.42215,0.37542,0.05839
4.369,0.44025,0.08096,0.46074,0.18093,0.28105
4.35,0.76821,0.04763,0.19847,0.07855,0.039
4.332,0.99355,0.04934,0.49495,0.10461,0.12474
4.307,0.27108,0.04351,0.44017,0.79588,0.19034
4.297,0.7419,0.04221,0.40577,0.05547,0.38331
4.292,0.01604,0.0613,0.43054,0.33128,0.06977
4.271,0.83524,0.03751,0.53726,0.40828,0.09179
4.252,0.4225,0.04678,0.49309,0.20618,0.05786
4.218,1.01216,0.04828,0.30587,0.11921,0.00872
4.194,0.8818,0.0326,0.17288,0.11291,0.06324
4.077,0.54649,0.04367,0.35571,0.09131,0.07854
4.033,0.75778,0.04758,0.10384,0.12344,0.07122
3.995,0.26074,0.05602,0.38857,0.18798,0.12352
3.989,0.67866,0.06682,0.41466,0.12388,0.11686
3.956,0.23906,0.04797,0.22917,0.17441,0.199
3.931,0.21102,0.04317,0.45727,0.29066,0.07267
3.904,0.36498,0.03608,0.36772,0.20843,0.10713
3.896,1.06024,0.04547,0.31914,0.06822,0.11091
3.845,0.0694,0.03602,0.47692,0.19387,0.15639
